Bedrooms,Bathrooms,Floor_area,Price_in_taka,City
2,2,1040,6500000,0
3,3,1620,16500000,0
3,3,1550,14500000,0
2,2,1000,5500000,0
4,4,1840,46000000,0
2,2,740,4000000,0
3,3,1250,7800000,0
3,2,875,5700000,0
4,3,1650,10000000,0
2,1,630,3500000,0
2,2,800,5300000,0
3,3,1560,14000000,0
3,4,1970,21000000,0
3,3,1802,16000000,0
18,10,4320,80000000,0
3,3,2500,65000000,0
3,2,1000,7300000,0
4,4,1720,14000000,0
3,3,1245,7100000,0
3,3,1200,5000000,0
2,2,925,6800000,0
3,3,1485,13200000,0
3,3,1485,13200000,0
3,3,1200,6000000,0
3,3,1553,16500000,0
3,2,750,5200000,0
4,4,2945,100000000,0
2,2,650,3200000,0
3,3,1595,11232000,0
2,2,850,6000000,0
2,2,850,4800000,0
3,3,1425,8500000,0
2,1,700,3000000,0
3,3,1480,10000000,0
3,3,990,4800000,0
2,1,600,3000000,0
3,2,1050,4800000,0
3,3,1350,13000000,0
2,2,1015,6500000,0
2,2,600,2600000,0
3,3,1430,12000000,0
3,3,1690,14800000,0
3,3,1330,7900000,0
3,3,1230,7400000,0
3,3,1700,17000000,0
3,3,1300,8000000,0
3,2,1175,6300000,0
3,3,1265,8500000,0
3,2,1000,5700000,0
2,2,1100,4500000,0
2,2,1100,4500000,0
3,2,1045,11000000,0
3,2,1100,6400000,0
4,4,2100,14000000,0
3,3,1250,10800000,0
4,3,2375,22000000,0
3,2,1100,7900000,0
3,2,820,6000000,0
3,3,1125,9700000,0
2,3,1220,16300000,0
4,4,2200,16500000,0
2,2,970,4800000,0
3,3,1510,8200000,0
3,3,1235,11800000,0
3,2,950,6000000,0
2,2,1230,5000000,0
3,2,1150,6500000,0
3,2,1150,6500000,0
3,3,1150,6700000,0
3,3,1250,7600000,0
2,2,860,4900000,0
3,2,1050,6200000,0
4,4,3355,39000000,0
16,10,3600,40000000,0
3,3,1425,8637500,0
3,3,850,7000000,0
3,2,1100,5000000,0
3,3,1100,4200000,0
3,3,1300,6500000,0
3,2,1050,5800000,0
3,2,1070,4600000,0
3,3,1230,6400000,0
4,4,3400,57800000,0
4,4,2880,15000000,0
3,2,879,5274000,0
4,4,1850,17500000,0
3,4,1856,17500000,0
4,4,1650,9900000,0
2,2,130,4200000,0
2,2,625,2500000,0
3,3,1250,5000000,0
2,2,650,3000000,0
3,3,1350,12000000,0
3,3,1325,6500000,0
3,3,1852,21500000,0
3,3,1210,6000000,0
3,4,1654,11000000,0
3,3,1275,12500000,0
4,4,2600,42900000,0
4,4,1955,25237500,0
3,3,1609,12800000,0
3,3,1410,13395000,0
2,2,922,5000000,0
4,4,2450,43000000,0
4,5,2258,28000000,0
3,4,1500,12200000,0
3,2,1050,5000000,0
3,3,1872,13500000,0
3,2,935,6610000,0
2,2,750,3500000,0
3,2,963,2503800,0
2,2,951,2472600,0
3,3,1248,3244800,0
3,2,1046,2800000,0
3,2,1000,3800000,0
3,2,1050,5500000,0
3,3,1090,7085000,0
4,4,3218,27500000,0
4,4,1400,9500000,0
3,3,1400,7500000,0
4,4,3200,58000000,0
3,3,1150,7000000,0
3,3,1390,22500000,0
3,3,1383,10800000,0
4,3,1650,11000000,0
4,3,1650,11000000,0
4,4,2785,44000000,0
2,2,1070,9630000,0
3,3,1450,11000000,0
3,4,2475,23500000,0
3,2,1200,7500000,0
4,5,2535,16000000,0
3,3,1325,8000000,0
3,3,1650,8250000,0
3,3,1650,8250000,0
2,2,1130,5800000,0
3,3,1150,9500000,0
3,3,1587,15900000,0
3,3,1320,9300000,0
3,2,1100,6500000,0
3,3,1375,12100000,0
3,2,900,5000000,0
3,3,1008,4838400,0
3,2,1055,5300000,0
3,3,1800,16000000,0
3,3,1250,5250000,0
3,3,2200,21000000,0
3,3,1500,12000000,0
3,3,1500,16000000,0
3,4,3226,30000000,0
2,2,612,2900000,0
2,2,650,4000000,0
3,3,1220,9500000,0
2,2,1020,5000000,0
3,3,1310,9825000,0
3,3,1310,12000000,0
2,2,650,2800000,0
2,2,650,2800000,0
3,3,1550,8600000,0
2,2,930,5200000,0
2,2,930,5200000,0
4,4,2400,26000000,0
3,3,1260,5796000,0
2,2,700,3500000,0
3,2,1240,8060000,0
3,2,1450,9425000,0
3,3,1254,8300000,0
3,3,1425,9975000,0
3,3,1315,7375000,0
3,3,1330,6916000,0
3,3,1400,6000000,0
3,4,1796,14000000,0
3,3,1400,8140000,0
3,3,1236,7000000,0
3,3,1150,6000000,0
3,2,1090,5500000,0
3,2,1108,5500000,0
2,2,900,5000000,0
3,4,1695,13500000,0
4,4,2600,49500000,0
3,3,1252,7000000,0
3,3,1500,8250000,0
3,2,1100,6050000,0
3,4,1611,15500000,0
3,2,1050,5500000,0
3,3,1200,6000000,0
3,3,2050,19500000,0
2,2,800,4445000,0
3,3,1495,15750000,0
3,3,1475,15550000,0
3,3,1500,12800000,0
3,3,1450,8675000,0
3,3,1400,8400000,0
3,3,1180,6500000,0
2,2,780,2730000,0
3,2,1100,4950000,0
3,2,1100,4950000,0
3,2,1100,4950000,0
